MonuNum,Run_no,MonuNm,Type,Comp_sheet,TOPO,Gauss_Lo,LO,Y_Gauss,Y_LO,X_Gauss,X_LO,MSL_Hgt,H_acc,LatCD,LonCD,P_acc,CM_UTM,UTMCM,E_UTM,Y_UTM,N_UTM,X_UTM,Lat_WGS84,Lon_WGS84,P84_acc,EllpHgt,H84_acc,Geoid_Sep,Src_Geoid,PedHgt,PillHgt,TopSignal,BotSignal,Establ,Date_Revisions,Observed,Computed,Last_insp,Destroy,DegSqr,Invest,Check,Remark,Intervisibility,AREA_NM,Township,Reported_by
687/S,,ESMYANGENE,SEC,QJ4220,1929C2,29,,-33620.48,,2178397.04,,1402.7,,194140.393,291914.347,,27,,743274.67,,7820845.06,,0,0,,0,,,,0.3,1.2,0.93,0.47,,,,,1996-09-06 00:00:00,,1929,False,False,,,Nsiza,,
688/S,,RUBY RANCH,SEC,QJ5636,1929C2,29,,-46925.83,,2162196.52,,1424,,193252.544,292649.715,,27,,756773.88,,7836894.07,,0,0,,0,,,,1.5,1.2,0.923,0.464,,,,,1996-08-17 00:00:00,,1929,False,False,,,Nsiza,,
689/S,,DESVAGES,SEC,QJ5451,1929A4,29,,-45427.88,,2148058.09,,1343.4,,192512.853,292557.11,,27,,755440.24,,7851054.43,,0,0,,0,,,,0.6,1.2,0.924,0.464,,,,,1996-09-12 00:00:00,,1929,False,False,,,Gweru,,
69/P,,CIGWA,PRIM,TN2847,2030A4,31,,62181.18,,2251314.57,,1174.1,,202109.145,302416.152,,33,,229027.99,,7747562.67,,0,0,,0,,,,0.15,1.2,0.932,0.476,,,,,1993-05-11 00:00:00,,2030,False,False,SEC SIGNAL,,Chivi,,
69/S,,CARLSSON,SEC,QH5054,2029A4,29,,-41420.67,,2244881.45,,1276.8,,201741.977,292347.562,,27,,750282.66,,7754249.91,,0,0,,0,,,,0.15,1.2,0.814,0.358,,,,,1995-10-18 00:00:00,,2029,False,False,,,Zvishavane,,
69/T,,Mavura,TERT,RL3881,1730A3,29,,-126905.76,,1917141.48,,1253,,171950.812,301137.6,,27,,839507.28,,8081198.27,,0,0,,0,,,,0.15,1.2,0.932,0.477,,,,,1996-09-17 00:00:00,,1730,False,False,,,Chinhoyi,,
690/S,,VUNGU,SEC,QJ4453,1929A4,29,,-35115.84,,2145379.38,,1344.7,,192346.48,292003.476,,27,,745156.34,,7853853.63,,0,0,,0,,,,0.5,1.2,0.915,0.457,,,,,1996-09-07 00:00:00,,1929,False,False,,,Gweru,,
691/S,,KJELSTROOMS,SEC,QJ5474,1929A2,29,,-45384.54,,2125115.71,,1279.9,,191246.701,292553.665,,27,,755662.06,,7874004.55,,0,0,,0,,,,0.3,1.2,0.925,0.47,,,,,1993-10-02 00:00:00,,1929,False,False,,,Kwekwe,,
692/S,,CHERTSEY,SEC,QJ6447,1929B3,29,,-54187.09,,2151241.4,,1364,,192655.598,293057.664,,27,,764165.38,,7847768.21,,0,0,,0,,,,1.5,1.2,0.923,0.463,,,,,1993-09-15 00:00:00,,1929,False,False,,,Gweru,,
693/S,,GILMAN,SEC,QJ5042,1929A4,29,,-40777.58,,2156669.02,,1411.6,,192953.264,292318.384,,27,,750688.31,,7842495.03,,0,0,,0,,,,3,1.2,0.918,0.462,,,,,1996-08-21 00:00:00,,1929,False,False,,,Gweru,,
694/S,,SIKOMBONGO,SEC,QJ5856,1929A4,29,,-49270.89,,2142431.23,,1356.8,,192209.527,292808.308,,27,,759349.78,,7856638.51,,0,0,,0,,,,1.5,1.2,0.925,0.47,,,,,1993-09-16 00:00:00,,1929,False,False,,,Gweru,,
695/S,,MISSIONFIELD,SEC,QJ6253,1929B3,29,,-52735.83,,2145975.49,,1380.3,,192404.478,293007.387,,27,,762774.8,,7853052.85,,0,0,,0,,,,1.5,1.2,0.93,0.47,,,,,1993-09-19 00:00:00,,1929,False,False,,,Gweru,,
696/S,,RANCHE,SEC,QJ6667,1929B3,29,,-56237.48,,2131937.8,,1326.9,,191627.595,293205.906,,27,,766440.16,,7867055.1,,0,0,,0,,,,0.3,1.2,0.925,0.47,,,,,1996-01-12 00:00:00,,1929,False,False,,,Gweru,,
698/S,,WOODEND,SEC,QJ4235,1929C2,29,,-32175.74,,2163576.54,,1300.9,,193338.482,291823.828,,27,,742003.5,,7835686.15,,0,0,,0,,,,1.5,1.2,0.92,0.474,,,,,1996-08-18 00:00:00,,1929,False,False,,,Nsiza,,
699/S,,MTABI MSHOPI,SEC,QJ5282,1929A2,29,,-42488.77,,2117014.54,,1257.5,,190823.448,292413.893,,27,,752858.38,,7882141.45,,0,0,,0,,,,0.3,1.2,0.923,0.46,,,,,1993-09-22 00:00:00,,1929,False,False,,,Kwekwe,,
7/NRT,,Chunga,TERT,PP4004,1528A4,29,,74333.24,,1696245.4,,1237.6,,152013.129,281828.03,,27,,640387.72,,8304127.99,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
7/Q,,C.M.B.W,QUART,TR9227,1731C3,31,,-5214.79,,1971846.22,,,,174943.147,310257.091,,33,,293246.42,,8027865.26,,0,0,,0,,,,,,,,,,,,,,1731,False,False,West flagpole on Colonial Mutual Building,,Harare,,
7/S,,Bumururu,SEC,US9453,1631C1,31,,-7348.43,,1846311.66,,1449.4,,164139.358,310408.027,,33,,294079.38,,8153431,,0,0,,0,,,,0.15,1.2,0.874,0.42,,,,,1988-04-12 00:00:00,,1631,False,False,,,Centenary,,
7/T,,Asp,TERT,TR8627,1730D4,31,,520.56,,1970772.45,,1489.8,,174908.241,305942.323,,33,,287499.1,,8028877.81,,0,0,,0,,,,0.15,1.2,,,,,,,,,1730,False,False,Destroyed (sports centre),,Harare,,
70/P,,MANDAMBO,PRIM,TP6215,1930D1,31,,28071.03,,2183795.56,,1278.3,,194436.276,304355.897,,33,,262339.71,,7815510.69,,0,0,,0,,,,,1.2,0.915,0.458,,,,,1991-10-10 00:00:00,,1930,False,False,No pedastal.SEC SIGNAL,,Mvuma,,
70/S,,BOGOTU,SEC,QH5244,2029A4,29,,-44538.76,,2254861.12,,1253.8,,202306.256,292535.915,,27,,753280.45,,7744229.5,,0,0,,0,,,,0.15,1.2,0.935,0.476,,,,,1984-10-11 00:00:00,,2029,False,False,,,Zvishavane,,
70/T,,Boswell,TERT,UR0021,1731C3,31,,-12839.41,,1978061.37,,1541.3,,175305.207,310716.154,,33,,300937.98,,8021731.44,,0,0,,0,,,,0.15,1.2,0.922,0.465,,,,,2001-05-02 00:00:00,,1731,True,False,"Lines to 175/S,318/T, 63/T, 319/T, 72/Tblocked by jacaranda and Gumtrees",,Harare,,
